grid_id_main,ci_norm,vci_norm,lum_norm,lum_adjacency_norm,lum_intensity_norm,lum_proximity_norm,gi_norm,li_norm,single_family_ha,multi_family_ha,facility_neighborhood_ha,facility_sales_ha,facility_office_ha,facility_education_ha,facility_industrial_ha,parks_green_ha,water_area_ha,road_area_ha,subway_influence_ha,bus_routes_cnt,cooling_kwh_per_floor_m2,heating_kwh_per_floor_m2,other_electricity_kwh_per_floor_m2
3786,0.9230981435762288,0.4705255657658408,0.6877371775572688,0.65,0.2860810083652897,0.5407978189320501,1.0,0.6677918268890934,7.767908044649055,0.718139977842661,0.0,0.4378172186408628,1.00291404893711,0.0,0.0,0.1502420285268897,0.0,2.188472356816689,0.0240221443443202,1,9.257352663158878,12.51243816140042,2.1477222265837423
3787,0.9633178011009907,0.4906146405661759,0.3784819515553322,0.575,0.5544796267486652,0.4643366747471313,1.0,0.0,12.002634432286378,0.0165620141480763,0.0,0.0,0.4928433933227603,0.0,0.0,0.0,0.0,0.9254994571741508,0.0,0,9.200287560665489,12.613980742792045,3.159571114847887
3788,0.783433064501499,0.1665890618195519,0.0,0.575,0.6996115151305894,0.0,0.0,0.0,10.050528415943823,0.050400265638074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402266235838063,0.0,0,15.074945384766242,17.362675233666124,6.819944521367548
3789,0.9168217031038682,0.4431426497302509,0.5100601165719121,0.5833333333333333,0.3909772106993557,0.6747714257982339,1.0,0.5749329299815723,6.878608929955245,0.1105622809566185,0.0,2.027857958849081,0.0,0.0,0.0,0.0,0.0250021447148906,1.5943437094957589,0.0,1,10.599225234405758,12.79294119309623,4.000509418558919
3790,0.9171537740248,0.4814231678375617,0.7816828235189442,0.6676136363636364,0.1941838961800583,0.5760001832649244,1.0,0.8756218545796703,10.184237098961212,0.0,2.909409800510628,1.1301140474602165,0.0,0.0,0.9943201355730727,0.0,0.0,2.0596552884632886,0.0,1,10.176987208901592,14.553205914255123,5.996623237303766
3791,0.0896754706203342,1.0,0.0,0.5952380952380951,0.7211467921636487,0.0,0.0,0.0,7.198573943176042,0.0,0.0,0.0,0.0,0.0,7.198573943176042,0.0,0.0,0.0078583964257428,0.0,0,7.124445043662909,13.693353525889863,6.413131169336523
3793,0.285486695926255,1.0,0.0,0.4272727272727272,0.3341546210636908,0.0,0.0,0.0,6.144877490930847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3259452601939166,0.0,0,10.742649551092402,16.41654135785646,1.1326030193769605
3794,0.905826988157262,0.6167234937998386,0.0,0.8153846153846154,0.7171789428358962,0.0,0.8993980423806621,0.8128199416808287,9.294472076962206,1.0185352080868788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127166242890169,0.0,0,12.0729654917587,15.254833985124959,2.1438538250631365
3795,0.992907383923674,0.4919903166222049,0.0,0.7833333333333331,0.8930259136733324,0.0,0.9204138756683422,0.8128199416808287,10.258885699491485,0.0013588444880639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7481119610070045,0.0,0,11.970948561161798,14.938594657232192,3.7433254387809174
3796,0.8866465474576698,0.5020234171218537,0.0,0.7749999999999998,0.8312979043282639,0.0,0.0,0.0,8.952177110893958,0.0065658440352486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8271811914687113,0.0,8,11.641614311468647,15.07645909385568,2.828841641008052
