grid_id_main,single_family_ha,multi_family_ha,facility_neighborhood_ha,facility_sales_ha,facility_office_ha,facility_education_ha,facility_industrial_ha,parks_green_ha,water_area_ha,road_area_ha,subway_influence_ha,bus_routes_cnt,cooling_kwh_per_m2,heating_kwh_per_m2,other_electricity_kwh_per_m2
3273,11.731013141903924,0.0224599128055589,0.0,0.0,0.0,0.0,11.591125588616348,2.7471748956676567,0.0,1.5991618165245969,0.0,11,12.392340089514152,24.327379566931207,12.053708793174502
3274,6.685274168134682,0.2697206525183372,0.0,0.0,0.0,0.0,6.9549948206530186,1.7560845103771534,0.0,1.4784828413315971,0.0,0,10.126869471465389,16.229568979319467,7.157282333304744
3275,5.706421084762317,0.6375412069201654,0.0,0.0,0.0,0.0,6.343962291682482,0.2332721408214497,0.0,1.7737169897726242,0.0,7,12.044774315553992,15.55978865533806,9.24386757956106
3276,15.559957307928064,0.0552268011817047,0.0,0.0,0.0,0.0,4.145824783555017,3.1248896173602296,0.0,1.5744542711540912,0.0,0,33.26248662766661,41.39469779592482,16.191995106274586
3277,15.672319015631674,0.0297234102418487,0.0,0.0,0.0,0.0,16.266850659169293,0.0,0.0,0.4167134249026125,0.0,0,30.23454020671886,39.30245082517929,17.706317969899334
3278,12.751236768853632,0.0426548861459727,0.0,0.0,0.0,0.0,6.898661496918912,0.0,0.0,0.7382811182201436,0.0,0,23.8468087979523,32.60110079957703,8.302469749736222
3279,16.638252595515024,1.4610850536548905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4157727401559035,0.0,3,29.22993496450932,44.37023698676682,11.36272097027077
3280,19.540655470405717,2.034844129237082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4151939249888528,0.0,8,37.83839188063112,54.04592301837484,8.896491245110782
3281,14.55931275357095,0.2102874586247735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7662752228791323,0.0,8,32.10245647609701,40.17186915813053,9.438488174259486
3282,10.8242633272282,1.594399440773644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415590785500494,0.0,0,28.47908814815573,34.16678770427596,8.717058931659796
3283,6.724181813742821,0.0063265440610665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2305904622544139,0.0,3,14.097063535221904,17.840049994719752,8.405735726214477
3284,11.111141963657102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729260089983692,0.0,0,23.560685319669563,28.903784426882805,20.74408207957997
3285,7.7128838623270335,0.2274300649154645,0.0,0.0,0.0,0.0,0.0,0.0031666730583526,0.0,1.067075730143732,0.0,0,18.48952476801879,21.942496571214992,9.02581292599545
3286,3.5904460355603303,0.1287579363978642,0.0,0.0,0.0,0.0,0.0,0.0794396878281774,0.0,0.4535459601468394,0.0,0,9.367542094334157,10.37709174598906,5.070709075363854
3287,19.060928857320665,0.0,0.0,0.0,0.0,0.0,0.0,0.0011908383597783,0.0,1.0278386034945517,0.0,0,34.24234974983401,49.38837277163865,7.39669130675164
3288,13.783253196600777,1.7438519495586975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31.67829086533329,41.09718370245892,8.450307154264001
3289,14.442974204394224,0.2819863090373505,0.0,0.0,0.0,0.0,0.0,0.2714835305336626,0.0,1.4291755164504285,0.0,2,24.47537835131906,36.66805155007805,5.595624110431215
3290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4200490598169722,0.0,0.4896175006557891,0.0,0,0.0,0.0,0.0
3291,0.0,0.0534103226686006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7117928588268557,0.0,0,0.5450595972301164,0.3767171262580871,0.1912593526368737
3292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3293,0.0,0.0053555865196966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0477456470485075,0.0305334366210387,0.0204134
3294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3295,0.0,0.0737144173262106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4062172862448833,0.2931942496216166,0.2311392812150718
3296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000512833087249,0.0,0,0.0,0.0,0.0
